pk,name,cover_image,user,mp3_file,genre,added_at
1,song00,https://i1.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/angel-mont-1.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,0,2020-05-13 09:53:45.850036
2,song01,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/all-along-watchtower.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,0,2020-05-13 09:53:45.859667
3,song02,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/all-along-watchtower.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,0,2020-05-13 09:53:45.859667
4,song03,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/all-along-watchtower.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,0,2020-05-13 09:53:45.859667
5,song04,https://i1.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/angel-mont-1.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,0,2020-05-13 09:53:45.860366
6,song10,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/all-along-watchtower.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,1,2020-05-13 09:53:45.860366
7,song11,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/american-woman.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,1,2020-05-13 09:53:45.860366
8,song12,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/american-woman.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,1,2020-05-13 09:53:45.860366
9,song13,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/american-woman.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,1,2020-05-13 09:53:45.860366
10,song14,https://i0.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/becausethenight.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,1,2020-05-13 09:53:45.860366
11,song20,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/all-along-watchtower.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,2,2020-05-13 09:53:45.860366
12,song21,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/american-woman.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,2,2020-05-13 09:53:45.860366
13,song22,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/all-along-watchtower.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,2,2020-05-13 09:53:45.860366
14,song23,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/american-woman.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,2,2020-05-13 09:53:45.860366
15,song24,https://i0.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/becausethenight.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,2,2020-05-13 09:53:45.861363
16,song30,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/american-woman.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,3,2020-05-13 09:53:45.861363
17,song31,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/american-woman.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,3,2020-05-13 09:53:45.861363
18,song32,https://i2.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/all-along-watchtower.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,3,2020-05-13 09:53:45.861363
19,song33,https://i1.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/angel-mont-1.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,3,2020-05-13 09:53:45.861363
20,song34,https://i0.wp.com/bestlifeonline.com/wp-content/uploads/2018/06/becausethenight.jpg?w=1024&ssl=1,1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,3,2020-05-13 09:53:45.861363
